step,actic loss,critic loss,average distance,time
10,-433.4666,106.5567,10.4251,0min6sec
20,-330.5416,75.2471,10.4234,0min6sec
30,-171.4669,56.4335,10.4213,0min6sec
40,-135.6556,43.3063,10.4224,0min6sec
50,-103.5864,35.2784,10.4194,0min6sec
60,-88.7108,29.8277,10.4203,0min6sec
70,-76.4139,25.8560,10.4047,0min6sec
80,-66.5453,22.8359,10.2433,0min6sec
90,-59.4412,20.4730,9.9704,0min6sec
100,-53.6819,18.5836,9.7377,0min6sec
110,-48.8199,17.0289,9.5401,0min6sec
120,-44.7909,15.7306,9.3751,0min6sec
130,-41.3975,14.6354,9.2321,0min6sec
140,-38.4707,13.6905,9.1074,0min6sec
150,-35.9444,12.8673,9.0044,0min6sec
160,-33.7027,12.1461,8.9240,0min6sec
170,-31.7287,11.5072,8.8404,0min6sec
180,-29.9730,10.9394,8.7714,0min6sec
190,-28.4460,10.4334,8.7014,0min6sec
200,-27.0380,9.9767,8.6395,0min6sec
210,-25.7887,9.5636,8.5829,0min6sec
220,-24.6160,9.1878,8.5309,0min6sec
230,-23.5440,8.8452,8.4846,0min6sec
240,-22.5757,8.5293,8.4431,0min7sec
250,-21.6914,8.2372,8.4039,0min7sec
260,-20.8442,7.9705,8.3671,0min7sec
270,-20.0888,7.7201,8.3360,0min7sec
280,-19.3777,7.4888,8.3076,0min8sec
290,-18.7075,7.2753,8.2778,0min8sec
300,-18.1067,7.0797,8.2511,0min8sec
310,-17.5215,6.8943,8.2260,0min8sec
320,-16.9863,6.7213,8.2025,0min8sec
330,-16.4749,6.5586,8.1802,0min8sec
340,-15.9920,6.4016,8.1589,0min9sec
350,-15.5301,6.2551,8.1395,0min9sec
360,-15.1073,6.1167,8.1209,0min9sec
370,-14.7041,5.9840,8.1033,0min9sec
380,-14.3243,5.8596,8.0866,0min9sec
390,-13.9616,5.7401,8.0707,0min9sec
400,-13.6196,5.6270,8.0564,0min10sec
410,-13.2882,5.5203,8.0427,0min10sec
420,-12.9643,5.4186,8.0295,0min9sec
430,-12.6637,5.3209,8.0164,0min9sec
440,-12.3724,5.2283,8.0037,0min9sec
450,-12.1019,5.1402,7.9923,0min8sec
460,-11.8411,5.0548,7.9810,0min9sec
470,-11.5848,4.9736,7.9701,0min9sec
480,-11.3455,4.8964,7.9602,0min9sec
490,-11.1163,4.8207,7.9507,0min9sec
500,-10.8931,4.7491,7.9408,0min9sec
510,-10.6761,4.6799,7.9309,0min9sec
520,-10.4736,4.6142,7.9212,0min9sec
530,-10.2730,4.5519,7.9122,0min9sec
540,-10.0814,4.4905,7.9037,0min9sec
550,-9.9005,4.4304,7.8952,0min9sec
560,-9.7236,4.3733,7.8872,0min9sec
570,-9.5513,4.3179,7.8794,0min9sec
580,-9.3879,4.2642,7.8726,0min9sec
